time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Thu Jan 22 17:27:03 2015 , 9.39369201996 , 0.0411985948334 , 228.01001 , 269.88364 , -0.14124647 , 162.40001 , 163.97000 , 0.0 , 1489640.70000 , 1529999.90000 , 271777.59409 
Thu Jan 22 20:30:43 2015 , 8.80391413637 , 0.0385556221353 , 228.34320 , 269.82140 , -0.14319122 , 162.88807 , 164.07000 , 0.0 , 1511985.30000 , 1512751.90000 , 274798.55363 
Thu Jan 22 23:34:20 2015 , 9.28209205607 , 0.0412500721317 , 225.02002 , 231.25160 , -0.14120708 , 160.60723 , 162.31810 , 0.0 , 1489640.50000 , 1511985.10000 , 271795.56333 
Fri Jan 23 02:37:55 2015 , 9.97102562732 , 0.0436368736425 , 228.50000 , 231.86812 , -0.13919318 , 160.50000 , 161.66883 , 0.0 , 1470177.20000 , 1511985.10000 , 268792.57634 
Fri Jan 23 05:41:30 2015 , 9.19650619886 , 0.0412759573999 , 222.80540 , 234.07697 , -0.14118724 , 160.30770 , 162.22951 , 0.0 , 1489640.40000 , 1511498.30000 , 271804.55036 
Fri Jan 23 08:45:04 2015 , 9.74502664194 , 0.0440066301122 , 221.44451 , 240.98990 , -0.1391535 , 161.30000 , 162.31810 , 0.0 , 1467625.90000 , 1481378.70000 , 268810.5508 
Fri Jan 23 11:48:43 2015 , 9.42938650464 , 0.041353319987 , 228.02006 , 242.47328 , -0.14112801 , 160.90001 , 162.29999 , 0.0 , 1489640.10000 , 1511984.80000 , 271831.50665 
Fri Jan 23 14:52:18 2015 , 9.42939022644 , 0.041353319987 , 228.02015 , 242.42221 , -0.14112801 , 161.10002 , 162.30000 , 0.0 , 1489640.10000 , 1528070.20000 , 271831.50665 
Fri Jan 23 17:55:56 2015 , 10.0355610163 , 0.0440052483083 , 228.05373 , 242.38593 , -0.13911411 , 162.01000 , 162.60169 , 0.0 , 1468050.80000 , 1504477.20000 , 268828.52046 
Fri Jan 23 20:59:31 2015 , 9.43487424615 , 0.0413792052585 , 228.01004 , 242.33399 , -0.14110817 , 160.30100 , 161.67966 , 0.0 , 1489640.00000 , 1503000.00000 , 271840.49368 
Sat Jan 24 00:03:06 2015 , 9.43487424615 , 0.0413792052585 , 228.01004 , 242.28770 , -0.14110817 , 160.30000 , 161.79340 , 0.0 , 1489640.00000 , 1505189.50000 , 271840.49368 
Sat Jan 24 03:06:40 2015 , 10.052209661 , 0.0440842652409 , 228.02262 , 242.26070 , -0.13909427 , 160.00000 , 160.00001 , 0.0 , 1467625.60000 , 1505151.40000 , 268837.50769 
Sat Jan 24 06:10:19 2015 , 10.0181815495 , 0.043928219965 , 228.05799 , 242.21921 , -0.13909427 , 158.23062 , 161.48382 , 0.0 , 1468876.90000 , 1500000.00000 , 268837.50769 
Sat Jan 24 09:13:53 2015 , 10.0561062692 , 0.0440842652409 , 228.11101 , 242.16749 , -0.13909427 , 156.15600 , 157.80000 , 0.0 , 1467625.60000 , 1511984.50000 , 268837.50769 
Sat Jan 24 12:17:29 2015 , 10.6389105555 , 0.0441105387115 , 241.18750 , 243.22750 , -0.13907413 , 153.42164 , 156.68783 , 0.0 , 1467625.50000 , 1505263.20000 , 268846.49101 
Sat Jan 24 15:21:06 2015 , 10.3572344304 , 0.0429148898139 , 241.34361 , 251.33926 , -0.13905429 , 136.61882 , 138.99997 , 0.0 , 1477478.10000 , 1511984.30000 , 268855.47805 
Sat Jan 24 18:24:47 2015 , 10.0042345255 , 0.04019661698 , 248.88250 , 250.86100 , -0.14104835 , 128.81534 , 130.90136 , 0.0 , 1500000.00000 , 1527885.90000 , 271867.45047 
