Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Sat Dec 27 02:25:52 2014 , 14.2453189192 , 0.0441031545486 , 323.0 , -0.03419101 , 0.00858696 , 0 , 5.8e-07 , 134989.938877 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 05:29:28 2014 , 14.2469290742 , 0.0441081395486 , 323.0 , -0.03418851 , 0.00859 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 08:33:03 2014 , 14.2469290742 , 0.0441081395486 , 323.0 , -0.03418851 , 0.00859 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 11:36:38 2014 , 14.1587127951 , 0.0441081395486 , 321.0 , -0.03418851 , 0.00861001 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 14:40:15 2014 , 14.070496516 , 0.0441081395486 , 319.0 , -0.03418851 , 0.0086335 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 17:43:52 2014 , 13.9840445625 , 0.0441081395486 , 317.04 , -0.03418851 , 0.00863991 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 20:47:27 2014 , 14.0139252105 , 0.0442722095486 , 316.54 , -0.03402444 , 0.00862699 , 0 , 5.8e-07 , 134994.22336 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Dec 27 23:51:01 2014 , 13.905757131 , 0.0442759802942 , 314.07 , -0.03393567 , 0.00869899 , 0 , 5.8e-07 , 134847.672921 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 02:54:36 2014 , 13.905757131 , 0.0442759802942 , 314.07 , -0.03393567 , 0.00871123 , 0 , 5.8e-07 , 134847.672921 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 05:58:14 2014 , 13.8933598565 , 0.0442759802942 , 313.79 , -0.03393567 , 0.00869776 , 0 , 5.8e-07 , 134847.672921 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 09:01:51 2014 , 13.4235539658 , 0.042926526065 , 312.71 , -0.03433815 , 0.00862426 , 0 , 5.7e-07 , 135552.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 12:05:25 2014 , 13.3844908271 , 0.042926526065 , 311.8 , -0.03433815 , 0.00863191 , 0 , 5.7e-07 , 135552.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 15:08:58 2014 , 13.8156896897 , 0.0442810566977 , 312.0 , -0.03393314 , 0.00862881 , 0 , 5.8e-07 , 134852.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 18:12:38 2014 , 13.8156896897 , 0.0442810566977 , 312.0 , -0.03393314 , 0.0085785 , 0 , 5.8e-07 , 134852.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Dec 28 21:16:11 2014 , 13.8156896897 , 0.0442810566977 , 312.0 , -0.03393314 , 0.00859 , 0 , 5.8e-07 , 134852.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 29 00:19:46 2014 , 13.8156896897 , 0.0442810566977 , 312.0 , -0.03393314 , 0.00854786 , 0 , 5.8e-07 , 134852.063272 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 29 03:23:54 2014 , 13.3946462723 , 0.042931558565 , 312.0 , -0.03433562 , 0.00857927 , 0 , 5.7e-07 , 135556.453623 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 29 06:27:31 2014 , 13.3946462723 , 0.042931558565 , 312.0 , -0.03433562 , 0.00856555 , 0 , 5.7e-07 , 135556.453623 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 29 09:31:05 2014 , 13.4225517854 , 0.042931558565 , 312.65 , -0.03433562 , 0.00858376 , 0 , 5.7e-07 , 135556.453623 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Dec 29 12:34:41 2014 , 13.4238009338 , 0.0429355539222 , 312.65 , -0.03424814 , 0.00859989 , 0 , 5.7e-07 , 135409.989337 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jan 02 11:21:56 2015 , 14.1668470173 , 0.0452340337089 , 313.19 , -0.03350736 , 0.00851493 , 0 , 5.9e-07 , 133459.989337 , 1.2e-07 , 0 , 1.8e-07 , 0 
