Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Sat Mar 22 06:18:27 2014 , -8.28754832509 , -0.0143009582666 , 579.51 , -0.00707457 , 0.02735 , 0.16954799 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -283604.826749 , 1.8e-07 , 8411.42192656 
Sat Mar 22 09:21:52 2014 , -8.1919119266 , -0.0143330509266 , 571.54 , -0.00707457 , 0.0272 , 0.16744379 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 8411.42192656 
Sat Mar 22 12:25:18 2014 , -8.19021935798 , -0.014330089509 , 571.54 , -0.00707457 , 0.02723675 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Sat Mar 22 15:28:44 2014 , -8.17201913431 , -0.0142982453272 , 571.54 , -0.00707457 , 0.02746999 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Sat Mar 22 18:32:10 2014 , -8.11236989567 , -0.0142760578894 , 568.25 , -0.00707457 , 0.0276325 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Sat Mar 22 21:35:38 2014 , -8.07628515068 , -0.0142793987706 , 565.59 , -0.00707457 , 0.02760803 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Sun Mar 23 00:39:07 2014 , -8.08462720782 , -0.0142941480716 , 565.59 , -0.00707457 , 0.0275 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Sun Mar 23 03:42:32 2014 , -8.0977545772 , -0.0143173581166 , 565.59 , -0.00707457 , 0.02733 , 0.1676382 , 1.15e-06 , -9542.73407119 , 1.2e-07 , -269604.826749 , 1.8e-07 , 6911.42192656 
Tue Jul 08 02:21:33 2014 , -97.982563882 , -0.157652433399 , 621.51 , -0.15957929 , 0.01263208 , 0 , 3.6e-07 , 5352.37944629 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 02:32:35 2014 , -6.88876831908 , -0.0110839219306 , 621.51 , -0.02284545 , 0.01259977 , 0 , 3.6e-07 , 32670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
